line_cd,station_cd1,station_cd2,time
1002,100201,100202,120000
1002,100202,100203,120000
1002,100203,100204,120000
1002,100204,100205,120000
1002,100205,100206,120000
1002,100206,100207,120000
1002,100207,100208,120000
1002,100208,100209,120000
1002,100209,100210,120000
1002,100210,100211,120000
1002,100211,100212,120000
1002,100212,100213,120000
1002,100213,100214,120000
1002,100214,100215,120000
1002,100215,100216,120000
1002,100216,100217,120000
1003,100301,100302,120000
1003,100302,100303,120000
1003,100303,100304,120000
1003,100304,100305,120000
1003,100305,100306,120000
1003,100306,100307,120000
1003,100307,100308,120000
1003,100308,100309,120000
1003,100309,100310,120000
1003,100310,100311,120000
1003,100311,100312,120000
1003,100312,100313,120000
1003,100313,100314,120000
1003,100314,100315,120000
1003,100315,100316,120000
1003,100316,100317,120000
1003,100317,100318,120000
1003,100318,100319,120000
1004,100401,100402,120000
1004,100402,100403,120000
1004,100403,100404,120000
1004,100404,100405,120000
1004,100405,100406,120000
1004,100406,100407,120000
1004,100407,100408,120000
1004,100408,100409,120000
1004,100409,100410,120000
1004,100410,100411,120000
1004,100411,100412,120000
1004,100412,100413,120000
1004,100413,100414,120000
1004,100414,100415,120000
1004,100415,100416,120000
1004,100416,100417,120000
1004,100417,100418,120000
1004,100418,100419,120000
1004,100419,100420,120000
1004,100420,100421,120000
1004,100421,100422,120000
1004,100422,100423,120000
1005,100501,100502,120000
1005,100502,100503,120000
1005,100503,100504,120000
1005,100504,100505,120000
1005,100505,100506,120000
1005,100506,100507,120000
1005,100507,100508,120000
1005,100508,100509,120000
1005,100509,100510,120000
1005,100510,100511,120000
1005,100511,100512,120000
1006,100601,100602,120000
1007,100701,100702,120000
1007,100702,100703,120000
1007,100703,100704,120000
1007,100704,100705,120000
1007,100705,100706,120000
1007,100706,100707,120000
1007,100707,100708,120000
1007,100708,100709,120000
1007,100709,100710,120000
1007,100710,100711,120000
1007,100711,100712,120000
1007,100712,100713,120000
1007,100713,100714,120000
1007,100714,100715,120000
1007,100715,100716,120000
1007,100716,100717,120000
1007,100717,100718,120000
1007,100718,100719,120000
1008,100801,100802,120000
1008,100802,100803,120000
1008,100803,100804,120000
1008,100804,100805,120000
1008,100805,100806,120000
1008,100806,100807,120000
1008,100807,100808,120000
1008,100808,100809,120000
1008,100809,100810,120000
1008,100810,100811,120000
1008,100811,100812,120000
1008,100812,100813,120000
1008,100813,100814,120000
1008,100814,100815,120000
1008,100815,100816,120000
1008,100816,100817,120000
1008,100817,100818,120000
1008,100818,100819,120000
1008,100819,100820,120000
1008,100820,100821,120000
1008,100821,100822,120000
1008,100822,100823,120000
1009,100901,100902,120000
1009,100902,100903,120000
1009,100903,100904,120000
1009,100904,100905,120000
1009,100905,100906,120000
1009,100906,100907,120000
1009,100907,100908,120000
1009,100908,100909,120000
1009,100909,100910,120000
1009,100910,100911,120000
1009,100911,100912,120000
1009,100912,100913,120000
1009,100913,100914,120000
1009,100914,100915,120000
1009,100915,100916,120000
1009,100916,100917,120000
1009,100917,100918,120000
1010,101001,101002,120000
1010,101002,101003,120000
1010,101003,101004,120000
1010,101004,101005,120000
1010,101005,101006,120000
1010,101006,101007,120000
1010,101007,101008,120000
1010,101008,101009,120000
1010,101009,101010,120000
1010,101010,101011,120000
1010,101011,101012,120000
1011,101101,101102,120000
1011,101102,101103,120000
1011,101103,101104,120000
1011,101104,101105,120000
1011,101105,101106,120000
1011,101106,101107,120000
1011,101107,101108,120000
1011,101108,101109,120000
11101,1110101,1110102,120000
11101,1110102,1110103,120000
11101,1110103,1110104,120000
11101,1110104,1110105,120000
11101,1110105,1110108,120000
11101,1110105,1110106,120000
11101,1110106,1110107,120000
11101,1110107,1110108,120000
11101,1110108,1110114,120000
11101,1110108,1110109,120000
11101,1110109,1110110,120000
11101,1110110,1110111,120000
11101,1110111,1110112,120000
11101,1110112,1110113,120000
11101,1110113,1110123,120000
11101,1110114,1110115,120000
11101,1110115,1110116,120000
11101,1110116,1110117,120000
11101,1110117,1110118,120000
11101,1110118,1110119,120000
